"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2022","sheets.players.League","sheets.players.Age.on.20.Dec.2022","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","1","0","Alexia Putellas","Midfielder","Barcelona","Spain","28","Spain","Spanish, Liga F, Midfielders","","","https://media.guim.co.uk/ef38991ce6ed5120bae7f9447deb57eb79160363/2658_57_2817_2817/500.jpg","","https://media.guim.co.uk/50ce74d7583dd115ea2afb87ecf6c3ab91974151/1190_665_3802_2281/500.jpg","","","The Barcelona superstar becomes the first player to win the top 100 for two consecutive years, and it’s all the more impressive when you take into account she has not played since the summer. Not quite as emphatic, understandably, as her 2021 victory, but the gap to her peers shows just highly rated Putellas’s performances were on the pitch until her cruel injury on the eve of Euro 2022 not only robbed the Ballon d’Or winner of the biggest stage while in her prime, but ended her year prematurely. Putellas ended the 2021-22 domestic season with 18 goals and 15 assists, and was the top scorer as her side reached the Champions League final. Forty-six of our judges made Putellas their No 1, the exact same number as last year, as she once again won by a similar margin of just under 300 points.","","","day_4_marrow.jpg"
"2","75","73","Beth Mead","Forward","Arsenal","England","27","England","English, WSL, Forwards","","","https://media.guim.co.uk/bea04f373a79555557b0c1d1267e6369f24e448d/1191_172_1019_1019/500.jpg","","https://media.guim.co.uk/67a14a85d3203814d686c826ce67c251ba66898a/0_161_2933_1760/500.jpg","","","One of the certainties of this year’s 100 was Mead being one of the highest risers and she has moved up 73 places from 2021, with 25 judges making her their No 1. She has had a tremendous year, clicking into top gear just after the hurt of missing out on the squad for the Tokyo Olympics in 2021 and both her scoring and assists record for Arsenal set up what was an incredible summer for the now fearless winger. Mead took centre stage at the European Championship where she again topped the scoring and assists charts, including the crucial opener in the semi-final against Sweden. Her contributions went a long way to helping the Lionesses’ long wait for a trophy and she started the new season in good goalscoring form, but an ACL injury last month will sideline her for a chunk of 2023.","","","day_4_marrow.jpg"
"3","3","0","Sam Kerr","Forward","Chelsea","England","29","Australia","Australian, WSL, Forwards","","","https://media.guim.co.uk/0873632249477cbf8add013428cd51a8349172ba/637_23_2408_2408/500.jpg","","https://media.guim.co.uk/a608cd1af4517e7f1e6646a97c06ecea65c6896f/294_114_2828_1697/500.jpg","","","The forward retains third place and another top three finish is unsurprising when you consider she was the top goalscorer in the WSL and helped Chelsea to another league title, scored twice in the two FA Cup finals in the past 12 months, of which the Blues won both, and was the Golden Boot winner for Australia at the Asia Cup earlier in the year. She has shown a penchant for finding the net in the biggest games, but in different ways. If it wasn’t her calm chip against Arsenal in last December's Cup final, it was her spectacular volley on the final day of the season against Manchester United when the title looked like it was slipping out of their grasp. Kerr received more votes than any other player, with 114 of our 119 judges picking her in their top 40, but only seven made the Australian their No 1.","","","day_4_marrow.jpg"
"4","10","6","Aitana Bonmatí","Midfielder","Barcelona","Spain","24","Spain","Spanish, Liga F, Midfielders","","","https://media.guim.co.uk/75d9f14c56e5bd2b597a7ce1e4ef7b0a133e65c9/1152_598_1150_1150/500.jpg","","https://media.guim.co.uk/5c43da5d2c0b9379f74a2c1a84a8d4abd6c8afca/0_173_7887_4732/500.jpg","","","Sneaking into the top 10 for the first time last year, this time her presence in the higher echelons of the list is much more emphatic for Bonmatí, who is now approaching her peak years, with 16 judges making the midfielder their No 1 pick. It would be unfair to say Bonmatí has only stepped up in the absence of Putellas for both club and country as there is every argument to suggest she was reaching that level anyway. The Spaniard helped drag her national side through the Euros and to almost topple eventual champions England in the quarter-finals. Those performances was so much down to her ability and tenacity, with her game against the Lionesses a particular standout. A constant creator capable of controlling even the biggest of games, aged 24 it feels as if Bonmatí is going to hold down a spot as one of the very best in the world for years to come.","","","day_4_marrow.jpg"
"5","44","39","Lena Oberdorf","Midfielder","Wolfsburg","Germany","21","Germany","German, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/86f0caa497e610c89ae2130a163dbaf1c1a9b855/1462_198_1331_1331/500.jpg","","https://media.guim.co.uk/aa6377169ab26b398c8c67420138dea198e92c25/0_288_4270_2560/500.jpg","","","A progressive mover up the rankings over the last four years, Oberdorf’s performances on the main stage in 2022 shoot her straight into the top five. The all-action defensive midfielder was named best young player at Euro 2022 and only turned 21 earlier this week. It was almost frightening to watch how Oberdorf dealt with the biggest and toughest tests during the summer and how much better she can go on to become, given she has already established herself as one of the very best around. Not afraid to make a tackle, Oberdorf’s ability to both read and influence games is well beyond her years. She has been one of the youngest players to make the top 100 list over the past few years and is the youngest face in the top 10. It will be no surprise to see her place highly for the next decade given how high her talent ceiling is.","","","day_4_marrow.jpg"
"6","2","-4","Vivianne Miedema","Forward","Arsenal","Netherlands","26","Netherlands","Dutch, WSL, Forwards","","","https://media.guim.co.uk/09c8ed2b65d17ada6d5f904b6e7cdc9efb820009/1270_95_991_990/500.jpg","","https://media.guim.co.uk/4012737af19f8352d8d87328b4cc078724c56738/0_86_3649_2190/500.jpg","","","After two consecutive second-place finishes, Miedema drops out of the top five and you can almost split the Dutch forward’s year into three. Before the Euros, she was in fine form for her club and ended last season’s WSL campaign with 14 goals and eight assists, second only to Sam Kerr. Sadly for Miedema, she was one of many players hit by Covid-19 during the tournament and unable to recover enough to stop the Dutch going out against France in the quarter-finals. Miedema then took a much-needed break and returned looking better for it, showing glimpses of the top-10 player she is … but then she ruptured her ACL, which she says will rule her out of next year's World Cup. So cruel as, when fit, Miedema remains one of the most technically gifted around, with a rare ability to score and create in equal measure.","","","day_4_marrow.jpg"
"7","-","-","Alexandra Popp","Forward","Wolfsburg","Germany","31","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/392159e64c499d3e6ecf0df3d489de9e01baacd9/1322_83_1628_1628/500.jpg","","https://media.guim.co.uk/6bdc2644f3e33357c5ca8527040f7f48e1cdfa72/0_110_3990_2394/500.jpg","","","A player who has achieved so much, Popp had always missed previous European Championships through injury, and she clearly wasn’t going to let this opportunity go without giving it her all. Her six goals equalled the tally of Beth Mead, and her double to drag Germany through the semi-final against France will live long in the memory. Missing the final through injury was absolutely heartbreaking for the Wolfsburg forward but by then she had reminded everyone of just how good she is, having been 19th on our list two years ago. She has taken that form into the new season with both club and country. Hence a jump up into the top 10 for the first time for a player who at 31 may yet still have one more Euros in her when 2025 comes around.","","","day_4_marrow.jpg"
"8","4","-4","Caroline Graham Hansen","Forward","Barcelona","Spain","27","Norway","Other nationalities, Liga F, Forwards","","","https://media.guim.co.uk/b57601e27a1670dd9101952dd4a2810366199d43/1138_0_828_828/500.jpg","","https://media.guim.co.uk/7c90903f9f733032af487e53ebbaed5aad0496ba/627_94_2307_1385/500.jpg","","","Graham Hansen drops four places in 2022 but that is no slight on another fabulous year for one of the most technically gifted players in Europe. The Norwegian continues to be a threat when it comes to both scoring goals and creating them and the ease with which she is able to gracefully skip past players sets her apart from most wingers in the game. She had a tough European Championship as Norway struggled in their group, not making it as far as the knockouts. But at club level she played a pivotal role in another trophy-filled year for Barcelona. Her 13 assists in last season’s league campaign helped her finish second in the Ballon d’Or to winner Putellas.","","","day_4_marrow.jpg"
"9","135","Re-entry","Keira Walsh","Midfielder","Barcelona","Spain","25","England","English, Liga F, Midfielders","","","https://media.guim.co.uk/384dd2f902663f0af2649600a8f5e8a226f21fb4/884_107_798_798/500.jpg","","https://media.guim.co.uk/c3d5f1219a6264ef2a5411dc516d64bca7ed5648/0_85_2468_1480/500.jpg","","","After dropping out of the list in 2021, having been 62nd in 2020, Keira Walsh has bounced back in quite some style, flying high into the top 10 for the first time. Six of our judges picked Walsh as their No 1, just one fewer than Kerr in third. It had always felt like Walsh had gone underappreciated outside of England, but a combination of a sensational Euros and a huge move to Barcelona in the summer has changed all of that. There are few in the game able to dictate matches like Walsh, and she showed her skill and vision on the biggest stage throughout the summer’s Euros, culminating in her brilliant assist for Ella Toone’s opener in the final at Wembley. That magnificent pass was exactly the kind of fare those who watch Walsh every week have become accustomed to and, as she settles into Barça life, it will be intriguing to see how she develops her game further in Spain.","","","day_4_marrow.jpg"
"10","34","24","Lucy Bronze","Defender","Barcelona","Spain","31","England","English, Liga F, Defenders","","","https://media.guim.co.uk/818f9dd53e03499bdc9407bc97c2c4d9041f9976/974_519_1202_1202/500.jpg","","https://media.guim.co.uk/1c4af02d307d2ebab74bc2a2343e4c567e7747f5/0_83_5224_3135/500.jpg","","","Bronze ranks in the top 10 for a sixth year out of seven, moving back up after coming 34th in 2021. A culmination of finding something close to her best form, her role in England’s Euro 2022-winning side and a move to Barcelona are all factors that have moved Bronze closer to the top again, and her ability to perform when the pressure is on remains a key part of her success. She helped Manchester City to a domestic trophy – the Continental Cup – and was once again vital for England, with her dogged performance in the final against Germany particularly impressive. Her talent is still regarded highly enough that Barça took up the option to sign her in the summer, where she is already making a big impact at both ends of the field.","","","day_4_marrow.jpg"
"11","13","2","Marie-Antoinette Katoto","Forward","PSG","France","24","France","French, D1 Arkema, Forwards","","","https://media.guim.co.uk/5a4e515dbf28e9e652aae594234a772313d6763b/801_133_1005_1005/500.jpg","","https://media.guim.co.uk/ed81cbc6833bf818c41d8f9eb383e1774df69537/403_47_2096_1258/500.jpg","","","Despite being another of the many big-name players hit by an ACL injury in 2022, it is a true marker of Katoto’s quality in front of goal that she still manages to move up a couple of spots and on to the verge of the top 10 after missing almost half the year. Euro 2022 was touted as potentially being Katoto’s breakthrough tournament but she was injured in the second group game. Before the tournament she had ended the 2021-22 domestic season as the French top flight’s best goalscorer – four clear of the impressive Catarina Macario – cementing herself as one of Europe’s elite in front of goal.","","","day_4_marrow.jpg"
"12","15","3","Wendie Renard","Defender","Lyon","France","32","France","French, D1 Arkema, Defenders","","","https://media.guim.co.uk/e29c07c4763963040bc5365617c3f5c581d4ee52/1161_184_1024_1024/500.jpg","","https://media.guim.co.uk/95a8e2de54b3611c00ace66f2a05350015ede677/0_173_3929_2357/500.jpg","","","Not quite back into the top 10 – she was fourth on our list in 2020 – but Renard’s high quality puts her in the elite group of defenders. It was a historic year for the towering centre-back who won another Champions League trophy, just as it looked as though Lyon’s reign was over, but glory continues to evade her on an international stage. Despite being a defender, Renard is a prolific goal threat and in big games too, as she showed against PSG in the Champions League semi-finals.","","","day_4_marrow.jpg"
"13","-","Re-entry","Ada Hegerberg","Forward","Lyon","France","27","Norway","Other nationalities, D1 Arkema, Forwards","","","https://media.guim.co.uk/d2ad2b2e97710d79f8efc9e79afc630763a3b979/1078_77_1574_1574/500.jpg","","https://media.gutools.co.uk/images/6c7b4ade0538be50a6b6a2ded671d842c1db587e?crop=1166_97_3110_1866","","","Hegerberg is back in the top 100 after two nightmare years recovering from injury. The Lyon striker endured a tough Euros, including that 8-0 defeat by England, and an injury setback has hampered the start of the new campaign. Before that she was very much the Hegerberg of old. Despite only returning partway through the 2021-22 season, she reached double figures for Lyon in the league and was influential in the team’s Champions League success, scoring the second goal in the final.","","","day_4_marrow.jpg"
"14","5","-9","Pernille Harder","Forward","Chelsea","England","30","Denmark","Other nationalities, WSL, Forwards","","","https://media.guim.co.uk/2154c7ce1b8bb2fb068395adbb8330c2b9d2c02e/701_375_2221_2221/500.jpg","","https://media.guim.co.uk/938a31a1e41a81e89564bdbe9d2edbba3f9d722d/0_185_1555_933/500.jpg","","","Harder drops out of the top 10 for the first time since 2016 but in reality that is not a mark against her quality but rather how strong the competition was in 2022. The Denmark captain may still be searching for exactly what her best role is in a fluid Chelsea attack but there are still few players who make attacking and creating look as easy. She started the 2022-23 season looking like a player more at home in the Chelsea system than ever before but sadly a hamstring injury picked up on international duty is going to keep her out for some time.","","","day_4_marrow.jpg"
"15","42","27","Leah Williamson","Defender","Arsenal","England","25","England","English, WSL, Defenders","","","https://media.guim.co.uk/a901ae3f1f1051235851b1c6961d72870ed0cf75/1193_102_693_693/500.jpg","","https://media.guim.co.uk/16cb8f65d0e6e391d1f96a471b95dabd3b92dbdc/1_76_3498_2038/500.jpg","","","The Lionesses captain lived every young girl’s dream in 2022, lifting a major trophy for your country, and in the process becoming the first woman to do so for England. But not just as a leader, Williamson’s performances at the heart of Sarina Wiegman’s defence played a huge part in the team’s success, while she is one of the key players for her childhood club Arsenal. Few epitomise the new era of Lionesses like Williamson, asked to lead the team in the absence of Steph Houghton and going about it as if it was business as usual. With it comes a huge rise up the rankings.","","","day_4_marrow.jpg"
"16","87","71","Catarina Macario ","Forward","Lyon","France","23","USA","American, D1 Arkema, Forwards","","","https://media.guim.co.uk/874f5a31ef42b4b5d5b89bcd1d90e45c61d6ba10/659_23_1867_1868/500.jpg","","https://media.guim.co.uk/55ccd6dec2fc2ce195ed4bcaca87a48564d45488/0_184_4231_2539/500.jpg","","","There’s very little doubt Macario was heading for a top 10 spot before an ACL injury at the end of the 2021-22 season curtailed her year prematurely, but she still comes home comfortably in the top 20. Her 14 goals last season were beaten only by Marie-Antoinette Katoto in France, while she also scored eight in the Champions League to help Lyon regain their title. The young American is fulfilling the talent everyone knew she had in college and hopefully will return in the same vein of form.","","","day_4_marrow.jpg"
"17","16","-1","Mapi León","Defender","Barcelona","Spain","27","Spain","Spanish, Liga F, Defenders","","","https://media.guim.co.uk/5ce7ddfbfbc1d3db7daf5174ca9eb4fccebffa8f/1583_2_1072_1072/500.jpg","","https://media.guim.co.uk/dea4eaee810dcebaf37a5de6f8570deda3f9104b/368_420_2619_1571/500.jpg","","","Coming in just one place lower than in 2021 emphasises the consistency León is continuing to show as one of the top defenders in world football. She is also one of the most attacking around, right at home in the all-conquering Barcelona side. The 27-year-old showed the ability she has to create with her wand of a left foot at the Euros, while recently in Liga F she has found the net with a couple of brilliant free-kicks. The ultimate modern centre-back.","","","day_4_marrow.jpg"
"18","107","Re-entry","Alex Morgan","Forward","San Diego Wave","USA","33","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/9ac632444c6ab45a40d1d64cf341910b6a932108/1103_11_1318_1319/500.jpg","","https://media.guim.co.uk/a81f0833c09e93f67ec0bd71435b6fea3304e9f5/63_1050_2727_1635/500.jpg","","","The USA striker just missed out on our list in 2021, but her 2022 could not be ignored as she roars to her highest-ever ranking. Morgan was top scorer in the NWSL with 15 goals last season, all the more impressive given she was doing it for an expansion side. Her club form raised questions over the past few years but Morgan's scoring led San Diego Wave to a superb first-season run to the playoff semi-finals. She also scored the winner for her country from the spot to beat rivals Canada in the Concacaf final and almost everything she touched in 2022 turned to gold.","","","day_4_marrow.jpg"
"19","45","26","Fridolina Rolfö","Defender","Barcelona","Spain","29","Sweden","Swedish, Liga F, Defenders","","","https://media.guim.co.uk/c4cb2ff67a25783fa5a8e24e8beb56316a063456/772_0_711_711/500.jpg","","https://media.guim.co.uk/09bd9340e4061e57cd26228431d421fe077616ce/0_71_3840_2304/500.jpg","","","For someone who is not naturally a full-back, Rolfö has become one of the best around, aided by playing in a brilliant Barcelona side. While still utilised further forward on occasions, particularly for Sweden, she has become deadly playing down the left and ended last season with double figures for assists for Barça. Only Selma Bacha created more goals than the Swede in the Champions League last season too, and Rolfö showed her more attacking instincts in Sweden’s run to the Euro 2022 semi-finals. Has been underrated in the past so it’s good to see her recognised in the top 20.","","","day_4_marrow.jpg"
"20","12","-8","Christiane Endler","Goalkeeper","Lyon","France","31","Chile","Other nationalities, D1 Arkema, Goalkeepers","","","https://media.guim.co.uk/7ca4cf1b6bbb9af97947faa21f12b290d74e06a2/705_694_3608_3607/500.jpg","","https://media.guim.co.uk/c0a4ffefdf3813b9a61239258eb9468887be2144/0_208_5000_3000/500.jpg","","","In a year where so many goalkeepers starred at Euro 2022, it emphasises Endler’s quality that she once again ranks as the best goalkeeper in the top 100. There is a slight drop from her position in 2021 but Endler’s big saves in big moments helped Lyon regain their Champions League title, while her overall game continues to be at the top level. She will be hoping to help Chile to another World Cup in 2023 and if so can recreate some of her spectacular saves from the 2019 edition on the highest stage once more.","","","day_4_marrow.jpg"
"21","149","New entry","Sophia Smith","Forward","Portland Thorns","USA","22","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/93d9b54f5c75e78e5d30b6678a40c7c87a0d68a1/994_115_2359_2359/500.jpg","","https://media.guim.co.uk/03433ebd8df8f694eb373d5cf11075120562a8c8/951_35_3188_1913/500.jpg","","","Sophia Smith is the highest first-time entrant into this year's top 100, with three judges marking the forward's immense rise by picking her as their No 1. She showed the world what she’s about this year, her 14 goals and direct forward play playing a huge role in the Portland Thorns clinching the NWSL Championship. Smith has been in devastating form throughout the year and is taking on a more prominent role in a new-look USA attack, earning the NWSL MVP award at just 22 for her performances in 2022.","","","day_4_marrow.jpg"
"22","47","25","Lauren Hemp","Forward","Manchester City","England","22","England","English, WSL, Forwards","","","https://media.guim.co.uk/7c1fcd9747052ab74507df9ca91cb4f5d351b5a5/867_44_895_896/500.jpg","","https://media.guim.co.uk/03cd038a45c4cf81376e1a8b2d4d3153a5e8b553/0_251_4310_2586/500.jpg","","","Still only 22, it is frightening to contemplate how good Hemp can get. The only criticism was about adding more goals to her game, which she did by scoring 10 in the WSL last season. Still one of the toughest wingers to defend against, Hemp can use both her left and right foot with equally devastating consequences. The European Championship was quiet by her own high standards but Hemp still popped up with big moments, and has started the new season in typically fine form for Manchester City. There is still plenty more to come.","","","day_4_marrow.jpg"
"23","27","3","Debinha","Forward","North Carolina Courage","USA","31","Brazil","NWSL, Forwards, Brazilian","","","https://media.guim.co.uk/491b4fef44b2cac07696c63a0e31ef508f184f30/592_53_1417_1417/500.jpg","","https://media.guim.co.uk/30fff1f6dc32484f6c2a576614dc88fe360f4f75/73_253_3377_2026/500.jpg","","","Debinha has been reliably influential for her club in the NWSL and this year was no different. Between her 12 goals and four assists, the Brazilian almost single-handedly dragged her team through a difficult season and took her game to new heights. She was also in fine form for her country, scoring five goals as Brazil won the Copa América earlier this year, where she was also named in team of the tournament after her penalty decided the final against a stubborn Colombia side.","","","day_4_marrow.jpg"
"24","23","-1","Kadidiatou Diani","Forward","PSG","France","27","France","French, D1 Arkema, Forwards","","","https://media.guim.co.uk/decf514e58a3d23338d2b1823073d961432ed846/231_19_1897_1896/500.jpg","","https://media.guim.co.uk/09777e60983022a0d5321abe82bfad4102495dc6/0_137_1939_1163/500.jpg","","","Diani took her game up a level in 2022. Named in the team of the season and nominated for player of the year in France, the PSG striker started the Euros in fine form before injury to teammate Katoto meant she had to take on a slightly different role. Diani has been prolific, leading the scoring charts in France early in the new season despite stiff competition from her own teammates and rivals elsewhere. Now at her peak, she is enjoying some of the best form of her career.","","","day_4_marrow.jpg"
"25","26","1","Lina Magull","Midfielder","Bayern Munich","Germany","28","Germany","German, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/7af23fcbb81f00c2783a40b08a626b17caf1d75d/1773_194_1615_1615/500.jpg","","https://media.guim.co.uk/38fde5d4e98237909a94e5caebe7658a3f0926e3/0_124_3200_1921/500.jpg","","","A slight rise up the table for Magull in 2022 reflects the consistency in her performances, and she was one Germany player who certainly didn’t deserve to be on the end of a defeat in the Euro 2022 final. Magull has so often been the driving force in midfield both domestically and internationally – few have got the art of popping up late in the box to score a goal down to a tee like her, as shown at Wembley in July, and recently in a Women's Champions League win for Bayern Munich against Barcelona.","","","day_4_marrow.jpg"
"26","-","New entry","Georgia Stanway","Midfielder","Bayern Munich","Germany","23","England","English, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/5ea758aedba2d29053af0a00697a55c1dc56a4a7/1422_7_1684_1684/500.jpg","","https://media.guim.co.uk/0ecd553220de0a853fabee6384ed40b5be259934/0_74_2218_1331/500.jpg","","","It looked as though Stanway’s career was approaching somewhat of a crossroads in 2022. Struggling to hold down a key role at Manchester City, the midfielder announced before the Euros that she would be heading to Bayern Munich. Sarina Wiegman’s decision to move Leah Williamson from midfield before the tournament opened things up for Stanway who took her opportunity with both hands. She was the driving force in England’s midfield and scoring a superb goal against Spain to spark the team’s charge towards glory, and is thriving in Germany.","","","day_4_marrow.jpg"
"27","99","72","Millie Bright","Defender","Chelsea","England","29","England","English, WSL, Defenders","","","https://media.guim.co.uk/19fe79b77cacfc4c6adc262d37bd864eb51ab362/492_139_1602_1602/500.jpg","","https://media.guim.co.uk/0ab195fa24e9f710e4d040f683e6926498843ad5/216_238_1813_1088/500.jpg","","","Yet another England player who flies up the rankings this year having only just made the list 12 months ago. Bright forged a formidable partnership for England with Leah Williamson at the Euros and was arguably one of the Lionesses’ most important players during the tournament. Her year started with the bizarre moment of being awarded joint Golden Boot winner alongside Alexia Putellas at the Arnold Clark Cup, but that was just the start of Bright's silverware for Chelsea and England.","","","day_4_marrow.jpg"
"28","7","-21","Fran Kirby","Forward","Chelsea","England","29","England","English, WSL, Forwards","","","https://media.guim.co.uk/304271c106a607e6cecebf8c77b5133fcb7f0c98/1226_42_1081_1081/500.jpg","","https://media.guim.co.uk/a35beaae32fd55bed8b71c3ad5442b78e89ecfbe/673_63_1844_1106/500.jpg","","","Kirby’s effect on her teams is so often realised when she is missing. As she struggled for fitness to be ready for Euro 2022, it never takes long for Kirby to remind people what they have missed. For England, she popped up with some special goals in the Euros while she has been in fine form for Chelsea in the new season. Both Chelsea and England are better when Kirby is available and Emma Hayes and Sarina Wiegman will be hoping Kirby can now put fitness problems behind her and return to her very best.","","","day_4_marrow.jpg"
"29","35","6","Lindsey Horan","Midfielder","Lyon","France","28","USA","American, D1 Arkema, Midfielders","","","https://media.guim.co.uk/f0978eab06ba95abd06ffe17a73ff7d79023fcf8/372_170_775_775/500.jpg","","https://media.guim.co.uk/6c5480118709d6ff54493f4d29d110bf4723e5b3/0_0_3260_1957/500.jpg","","","Horan took on a new challenge in 2022 when she returned to Europe on a year-long loan from Portland Thorns. It’s one she is passing with flying colours, finding the net regularly from midfield in both the league and Europe and adding her box-to-box qualities to the Lyon side where she picked up the Women's Champions League trophy this year. For the USA, she continues to be as influential as ever, even when asked to play a slightly more defensive role.","","","day_4_marrow.jpg"
"30","8","-22","Irene Paredes","Defender","Barcelona","Spain","31","Spain","Spanish, Liga F, Defenders","","","https://media.guim.co.uk/8e09f4714dde7c975e66846d0cd3a5df33e786ca/2033_43_2031_2032/500.jpg","","https://media.guim.co.uk/e8882f42f7d6bfa7d670468a0b55ec8a4c8fcd4e/0_287_5704_3424/500.jpg","","","Paredes continues to hold down one of the best centre-back partnerships in world football with Mapi León at Barcelona, her no-nonsense approach still marking her out as one of the best. She showed her aerial ability at the other end of the pitch too during Spain’s Euro 2022 campaign, and she led with grace through a difficult period for the team after their exit. Paredes misses the top 10 this year, but that reflects more on the excellence of others than it does about her.","","","day_4_marrow.jpg"
"31","29","-2","Patri Guijarro  ","Midfielder","Barcelona","Spain","24","Spain","Spanish, Liga F, Midfielders","","","https://media.guim.co.uk/3bcdd1e9144fb7c3866f687a84a1e3616f205d39/1521_76_920_920/500.jpg","","https://media.guim.co.uk/4a3a04b3cebc32e6f02967f305ed9701301c8678/0_177_5001_3001/500.jpg","","","Guijarro drops only a couple of spots but how close she comes to her 2021 ranking shows the consistency in her performances. She has silently become one of the ultimate midfield pivots, her brain and ability to spot a pass close to unmatched as she compliments the talent in midfield for both club and country. The Spaniard ended last season with nine assists in the league and she’s already well on course to reach that, while her overall midfield game continues to go from strength to strength. At just 24, there’s still more to come.","","","day_4_marrow.jpg"
