"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2021","League","Age.on.20.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile","Writer"
34,18,"-16","Trent Alexander-Arnold","Defender","RIGHT","Liverpool","England",23,"England","https://media.guim.co.uk/288eeca024e51794e4f3fd1d6481287868578bc3/689_57_2002_2002/500.jpg","https://media.guim.co.uk/d19f079de86fce6a6edce937587d42d0ae02304a/0_0_3500_2100/500.jpg","The Liverpool defender has been in superb form for Jürgen Klopp's title challengers this season with the world-class quality of his deliveries from right-back continuing to shape matches. After all the fuss over how many right-backs Gareth Southgate should take to the European Championships, the 23-year-old was highly unfortunate to miss England's campaign with a thigh injury sustained on the eve of the tournament. He also had to deal with constant disruption to Liverpool's defensive line last season, playing alongside a different centre-back pairing seemingly every week, but he remains one of the most decisive full-backs in the game.","Andy Hunter"
35,NA,"Re-entry","Ilkay Gündogan","Midfielder","CENTRE","Manchester City","England",31,"Germany","https://media.guim.co.uk/0dd96f66ca84b35c473fa95586b69692e1b87127/767_1_1774_1773/500.jpg","https://media.guim.co.uk/f9f5ae99bc3e99f3657d7b3ac4fa4a3cefa24530/39_75_3457_2075/500.jpg","Pep Guardiola began 2021 in need of a goalscorer and found one in the unlikely shape of Gündogan, who scored 11 goals as Manchester City left their title rivals behind. The 30-year-old midfielder’s reinvention surprised many, but not Guardiola. ""I said he can play as a false nine and people laughed,"" the City manager said. Guardiola must surely rue his decision to move Gündogan back into a holding role for the muddled Champions League final defeat to Chelsea. Likewise Jogi Löw, who dropped him for Germany’s chastening Euro 2020 defeat by England at Wembley. Always dependable, Gündogan is now close to indispensable.","Niall McVeigh"
36,15,"-21","Manuel Neuer","Goalkeeper","CENTRE","Bayern Munich","Germany",35,"Germany","https://media.guim.co.uk/35b34bdb27dc3b2f323ee1fc0a59466478b49f66/458_77_677_677/500.jpg","https://media.guim.co.uk/86b03195cadc202b0777e751cf586340071ca2f6/315_192_3132_1879/500.jpg","One of the world’s premier goalkeepers has slipped 21 places down the list in 2021, paying for some of the defensive disarray in front of him for club and country in the past year. Bayern conceded an uncharacteristically high 44 goals in 34 games on the way to the Bundesliga title, but it would have been many more without Neuer’s interventions. He was frequently stranded during the Euros too, and will be expected to charge off his line plenty with Hansi Flick in charge of the national team. There is no further debate, however, over his position for Bayern or Germany.","Andy Brassell"
37,NA,"Re-entry","Marco Verratti","Midfielder","CENTRE","Paris Saint-Germain","France",29,"Italy","https://media.guim.co.uk/346702d49ed8de5c39a97371930ed04e39171492/354_24_800_800/500.jpg","https://media.guim.co.uk/fbf5019cbb3f86a810c9735c7ccc5aa0b5087142/0_71_2205_1324/500.jpg","“Paris has given me everything,” the Italian proclaimed in October – but it’s his own contribution to the club that is beyond measure. Having missed much of the year through Covid-19 and injury, his importance as an enabler for PSG’s panoply of attacking talent was all the more evident in his absences this year. But it was on the international stage that Verratti finally gained his due recognition this year, where he was instrumental to Italy’s Euro 2020 triumph. Standout performances against Belgium and England saw him deploy his range of passing and line-breaking to full effect, as the midfield made the difference for the Azzurri. A well-deserved return to this list.","Raphaël Jucobin"
38,76,"38","Achraf Hakimi","Defender","RIGHT","Paris Saint-Germain","France",23,"Morocco","https://media.guim.co.uk/33657f647dd3b638f1a3189110d369b90a06667c/357_67_1529_1529/500.jpg","https://media.guim.co.uk/928ca6c81ee27fe231cf8604209aed33ebc568d5/0_154_5000_2999/500.jpg","The wing-back formed a key part of Antonio Conte’s all-conquering Internazionale team in their relentless march towards the Serie A title in the second half of the season. As PSG’s only summer signing to come with a transfer fee, Hakimi hit the ground running in his first handful of appearances for the club, dominating the right-hand corridor and providing arguably the team’s main attacking outlet at a time when the bigger names were yet to settle in or return from international commitments. The Moroccan’s form has somewhat dropped off lately, but his presence remains a game-changer for a team that were lacking in his position.","Raphaël Jucobin"
39,22,"-17","Son Heung-min","Winger","LEFT","Tottenham Hotspur","England",29,"South Korea","https://media.guim.co.uk/04d0197ac29000f85ce766b51bf8a6ffb99573d8/1463_174_1234_1234/500.jpg","https://media.guim.co.uk/c931c783d32ed4f8ea4f46f250df9058a6cb0b6e/9_0_3977_2386/500.jpg","It has been a tough period for the most celebrated player in Asia and the only one from the region to make the list. Son has lived through the José Mourinho meltdown at Tottenham, the uneasy transition to Ryan Mason and the failed appointment of Nuno Espírito Santo, with his numbers under them during the calendar year saying everything – 12 goals in all competitions. The hope is that things will pick up under Antonio Conte for a player synonymous with pace, direct threat and insatiable hunger. Son has helped South Korea to take sure-footed strides towards automatic qualification for the World Cup.","David Hytner"
40,71,"31","Luka Modric","Midfielder","CENTRE","Real Madrid","Spain",36,"Croatia","https://media.guim.co.uk/5f61c6da0de5c14293e4a66ffe182bc4ed77cd26/1133_0_1166_1165/500.jpg","https://media.guim.co.uk/fdf44b4cb4f9241ea59bc52ca1345272e32b0366/0_343_4592_2755/500.jpg","Ah, Luka, don’t ever go. At the start of last season it looked like he might, like time had finally caught up with him, like Madrid’s midfield was about to be renewed, and that was reflected in this list: he was 71st. But then he returned to the heart of everything good and this season he has been superb. Up 31 places – and he could be even further up than that. Aged 36, he’s still better than the rest. Just don’t say the word rest to him. “I feel happier when I’m playing,” he says.","Sid Lowe"
41,16,"-25","Serge Gnabry","Winger","RIGHT","Bayern Munich","Germany",26,"Germany","https://media.guim.co.uk/a3863d6e22b06fe24f7a4becfa414d988fd7474e/1484_52_691_691/500.jpg","https://media.guim.co.uk/a516a81424c4603112402bdc7727f8569dd932b4/0_157_3500_2100/500.jpg","The continuing development of Gnabry at 26 is a delight. Spotted and brought in with the aim of helping to fill the Robben-Ribéry gap, he has succeeded by being himself, not only using his pace and dribbling to surge past players from either flank but in being a deadly finisher whose goal output is only going to increase. This was also the year in which he reached 20 goals for Germany; it took him only 30 games, making him the sixth-fastest player to reach the mark for the senior team. Gnabry is almost certain to be a central piece for club and country for the next decade.","Andy Brassell"
42,23,"-19","Alphonso Davies","Defender","LEFT","Bayern Munich","Germany",21,"Canada","https://media.guim.co.uk/55ba246b309368d41af1cbf5110ec9c5727b482f/1193_500_1576_1576/500.jpg","https://media.guim.co.uk/06c771accc4ec0712543d587736704dee9ecb657/0_100_3543_2126/500.jpg","Davies was one of the shooting stars of last season’s list, with a levelling out perhaps a natural follow-up to such a dazzling trajectory on Bayern’s triumphant 2020 Champions League campaign. Still learning as a full-time left-back having arrived in Germany as a winger, potentially to succeed Franck Ribéry or even Arjen Robben, he suffered from a few injuries and then had to deal with the departure of his on-pitch mentor, David Alaba. Yet he has emerged in the last part of 2021 as a real leader for Bayern’s defence at only 21, which reminds us just how bright his future is.","Andy Brassell"
43,10,"-33","Virgil van Dijk","Defender","CENTRE","Liverpool","England",30,"Netherlands","https://media.guim.co.uk/a3d856c75cf6676431091e98b6da934524817526/805_160_994_994/500.jpg","https://media.guim.co.uk/7af419aea2e34100e2c8033cc7212465498ed897/79_1_3175_1906/500.jpg","There is an obvious explanation for why the defender who was widely regarded as the best in the world in 2020 has fallen 33 places to his lowest position since first entering our list in 2018 – he didn't play football until August. Van Dijk missed nine months in total, the Euros included, with a ruptured anterior cruciate ligament that dealt a fundamental blow to Liverpool's Premier League title defence. The Netherlands captain admits he will need time to recapture his peak form after such a serious injury but his return instantly improved Klopp's team and he remains crucial to their prospects.","Andy Hunter"
44,49,"5","Marquinhos","Defender","CENTRE","Paris Saint-Germain","France",27,"Brazil","https://media.guim.co.uk/00c405a63bcd3567d90802823d26a9f8571836f9/1328_111_1215_1215/500.jpg","https://media.guim.co.uk/745db9c345905459f3fba6760991c33b7438671a/111_110_2959_1775/500.jpg","Without his long-time partner Thiago Silva, who joined Chelsea at the start of last season, Marquinhos has been given space to flourish. Gone were the rare but frustrating mistakes that used to punctuate his game as the fiercely determined, unerringly consistent, bullishly proactive centre-back made a claim to be world football’s premier defender in 2021. Now captain, he is arguably PSG's most important player, holding together a shaky, gung-ho backline with the erratic Presnel Kimpembe alongside him and the flying wing-backs Nuno Mendes and Achraf Hakimi on the flanks. At 27, his best years could still be ahead.","Adam White"
45,70,"25","Bernardo Silva","Forward","CENTRE","Manchester City","England",27,"Portugal","https://media.guim.co.uk/8fe4ab4d42842738871e868492fedba7824caccc/1471_65_1036_1036/500.jpg","https://media.guim.co.uk/dbe509ea7abc684d8356f0ad20f9a4dce550fdb2/97_123_3371_2023/500.jpg","It is possibly unfair that the Portuguese midfielder is in a relatively lowly position on this list as voting took place just before he became one of the Premier League’s most in-form players, resulting in Pep Guardiola lauding him as the best in England. It looked like Silva’s time at City was coming to an end over the summer after he struggled to cement a place in the team last season but he has made the most of opportunities made available to him this time around, scoring seven goals in the opening 16 league games of the campaign, including a beautiful first-time volley against Aston Villa, to make him a focal point for strikerless City.","Will Unwin"
46,NA,"New","Rodrigo De Paul","Midfielder","CENTRE","Atlético Madrid","Spain",27,"Argentina","https://media.guim.co.uk/0061b07676c9dd49a9da72a8fbc04dfb98298336/1767_185_4501_4503/500.jpg","https://media.guim.co.uk/3a6d2b21d56a8649f85a648294f23d7ba990a6e4/0_118_4500_2700/500.jpg","“People talk about goals and assists but I was looking for stats on ball recoveries the other day,” De Paul said in June. “I’m on almost treble the first year: it was 150, it’s over 400 now. What I didn’t have then, now I do. So now you think: ‘OK, what’s next? What’s missing?’” Not much as it turns out, and that very sentiment is why the Atlético midfielder, signed from Udinese, is proving so good – the relentlessness of the improvement, the willingness to subsume himself to the collective cause. He was also immense at the Copa América.","Sid Lowe"
47,50,"3","Kai Havertz","Forward","CENTRE","Chelsea","England",22,"Germany","https://media.guim.co.uk/62875e45a9e64d8683e52d384d37d6828cfca462/2472_42_1376_1376/500.jpg","https://media.guim.co.uk/83c47d814ffe3dc58063109c3713dcc43a9db9d3/0_225_3500_2101/500.jpg","The 22-year-old is surprisingly low on the list given that he scored Chelsea’s winner in the Champions League final. He is a player who remains difficult to read. There have been flashes of obvious class this year, moments when Havertz has looked like a future Ballon d’Or winner, and the forward could not be blamed for Germany going out of the Euros in the last 16. Yet there have also been long spells of nothingness from the £72m man. Inconsistency is a problem and there also doubts over Havertz’s best position. Is he a striker or a No10? A wide player? Chelsea need to find out.","Jacob Steinberg"
48,NA,"New","Antonio Rüdiger","Defender","CENTRE","Chelsea","England",28,"Germany","https://media.guim.co.uk/a678797b2da11931022de13d639e7771f0523998/921_108_2310_2311/500.jpg","https://media.guim.co.uk/3440d6de0d2402bba6c10a4718a907f94ecacb7c/60_33_2375_1425/500.jpg","The German centre-back is one of the most-sought after defenders in world football as his Chelsea contract runs down. Under Frank Lampard he struggled to get into the Chelsea team at times – hence why he is a new entry on the list – but Thomas Tuchel has ensured his compatriot is a key component in his back three, helping them to win the Champions League last season. ""If you have him as the aggressive leader on the pitch you can't have him not involved if there are teammates to defend on the pitch,” Tuchel said.","Will Unwin"
49,64,"15","Memphis Depay","Forward","CENTRE","Barcelona","Spain",27,"Netherlands","https://media.guim.co.uk/115c79e7988e379e32a4bdca438b3e31ba3b82fd/1175_0_1250_1250/500.jpg","https://media.guim.co.uk/fdfc7a684ba60229317024a003a0c2d0a95b6dab/0_20_4000_2399/500.jpg","The summer move to Barcelona was an indication of how bright his light shone at Lyon and he has settled reasonably well at a Camp Nou in disarray. Depay was expected to play alongside Lionel Messi and Antoine Griezmann but has quickly become the focal point of the attack in a transitioning team. The Dutchman ended last season with 29 goals for club and country. Despite the problems in Catalonia, Depay enjoyed a respectable start, scoring eight in his first 15 La Liga matches but none in Europe as Barcelona were dumped out of the Champions League.","Will Unwin"
50,NA,"Re-entry","César Azpilicueta","Defender","RIGHT","Chelsea","England",32,"Spain","https://media.guim.co.uk/84bcc26f515cf151fa24c8b35ad1ea9e674ead60/1790_131_1680_1681/500.jpg","https://media.guim.co.uk/f7935e987a174b4cf4b0b865e8880400f35f373c/278_243_4922_2953/500.jpg","Chelsea’s captain is deservedly back on the list after six years away. Versatile and dependable, Azpilicueta has been excellent since Chelsea’s switch to a back three. The 32-year-old had struggled as a right-back, but he flourished as a right-sided centre-back when Thomas Tuchel’s side won the Champions League. “It is a pure pleasure to be his coach,” says Tuchel, who does not want to lose the defender when his contract expires at the end of the season. Azpilicueta remains one of Chelsea’s leaders and he is still going strong at international level. He helped Spain reach the semi-finals of the Euros and the final of the Nations League.","Jacob Steinberg"
51,NA,"New","Gerard Moreno","Forward","CENTRE","Villarreal","Spain",29,"Spain","https://media.guim.co.uk/07e4b8de75976d5c5697fe3da595564e0e874ef3/296_71_865_865/500.jpg","https://media.guim.co.uk/8d282512fc111b5cebfbaa9d1cafccd338eeaf59/7_338_4325_2595/500.jpg","“To tell you the truth, I don’t really like people talking about me and I don’t like seeing myself in the papers,” Gerard Moreno says, which might say more than it should. Not many talk about him, especially not him, but they should. A No 9, a No 8, a No 7, and a No 10 in one player, he was rightly voted the Europa League’s player of the season for 2020-21 – it really couldn’t have been anyone else – and was arguably the finest footballer in Spain last season.","Sid Lowe"
52,NA,"New","Emiliano Martínez","Goalkeeper","CENTRE","Aston Villa","England",29,"Argentina","https://media.guim.co.uk/1548341add50d6e25ec0a1fbe29bb56fe10f0197/194_129_1156_1155/500.jpg","https://media.guim.co.uk/197b1de0c6e09ba8a1ccde976ed2b74ba653c9e5/360_212_2375_1425/500.jpg","With goalkeeprs, it is not just what they do but how they do it. Martínez makes improbable saves all the time but his personality is what makes him extra special for club and country. His leadership skills helped to tighten the defence at Villa, with whom, in his first season, he equalled a club record for the number of clean sheets kept in a Premier League campaign. Then he went to the Copa América and inspired Argentina to victory, memorably making three saves in the penalty shootout win over Colombia in the semi-final after sledging the takers. “Martínez is fundamental,” said none other than Lionel Messi in September. “When opponents come at him, he always has an answer.”","Paul Doyle"
53,46,"-7","Thibaut Courtois","Goalkeeper","CENTRE","Real Madrid","Spain",29,"Belgium","https://media.guim.co.uk/1765dd1ada605a1fcff2bcf77bba2d957795662d/2680_163_1598_1598/500.jpg","https://media.guim.co.uk/545186fc00570b8bef6ff5e7f9d409b27d72d26b/0_140_4000_2400/500.jpg","Down seven in our rankings, which may be because of a lack of visibility in a season in which Real Madrid did not win anything and Belgium made a quarter-final exit from the Euros. Because it’s not about the standards he has set week after week. Every game now, it seems, includes at least one stunning save. “There’s not enough appreciation of Courtois,” says the Spain goalkeeper Unai Simón. “There are lots of stars at Madrid, like Benzema, Modric and Kroos, but they would not win without Courtois.”","Sid Lowe"
54,NA,"New","Simon Kjær","Defender","CENTRE","Milan","Italy",32,"Denmark","https://media.guim.co.uk/c85a0ab9a0de970f928f2cbe7de9cb5d0534b00c/1537_338_1663_1663/500.jpg","https://media.guim.co.uk/29543e89e47326d86034f07dc3a0d6dd8ce82532/842_365_3541_2125/500.jpg","It felt entirely unfair when, on 1 December, Kjær damaged ligaments in his left knee during Milan’s match against Genoa. Even before then, no one had experienced a year like the Denmark captain. In June he became a household name, gaining hero status for his role in saving Christian Eriksen’s life during the Euro 2020 game against Finland; just as remarkable, in a different way, was the strength with which he then led them to the semi-finals and on to a barnstorming World Cup qualification. His exploits earned him 18th place in the Ballon d’Or rankings and a host of awards. Kjær is a newcomer to this list at the age of 32, having been a highly-regarded but perhaps underrated player throughout his career, and had been pivotal to Milan’s title challenge before his injury.","Nick Ames"
55,31,"-24","David Alaba","Defender","CENTRE","Real Madrid","Spain",29,"Austria","https://media.guim.co.uk/9f0cdca8134277bd677365098026879d4966fb28/1178_182_1315_1315/500.jpg","https://media.guim.co.uk/2e2b0ff3128d135cca287361e91312945b96d9ee/0_79_4581_2748/500.jpg","After a sensational 2020 at centre-back Alaba slowed up ever so slightly in 2021, clutching for stability as Bayern struggled defensively – while also managing a public war of words between his family/entourage and the German champions as contract talks broke down. Once again the 29-year-old held Austria together at Euro 2020 during an often chaotic but ultimately rewarding campaign and has settled well at Real Madrid, with his smooth adaptation to life in La Liga garlanded by a glorious first goal for the club in the Clásico win at Camp Nou in October.","Andy Brassell"
56,25,"-31","Zlatan Ibrahimovic","Forward","CENTRE","Milan","Italy",40,"Sweden","https://media.guim.co.uk/5050595d7e54718134a246facaa923aee8d8a3b2/531_8_1119_1119/500.jpg","https://media.guim.co.uk/b04ee5f4c73682ab9afdf845a2d22f42ad675f78/0_62_2518_1511/500.jpg","“It’s not easy. Every day I wake up, I have pain everywhere,” Ibrahimovic told the Guardian’s Donald McRae in an interview in November but that’s OK, he added later, because “I don’t have problems suffering. For me, to suffer is like breakfast."" Say what you will about the Swede but his presence on this list at the age of 40 – three years older than anyone else, goalkeepers included – is nothing short of remarkable. Was hampered by injuries in 2021 and missed the Euros after returning to international duty for Sweden but still managed 15 goals in 19 Serie A games in 2020-21 and has seven in 10 this season at the time of writing as he chases an improbable fifth Serie A title, a decade after his last.","Marcus Christenson"
57,NA,"New","Dusan Vlahovic","Forward","CENTRE","Fiorentina","Italy",21,"Serbia","https://media.guim.co.uk/c178861497fe3f3274efa1c950c7fab76d4e50a7/313_298_2128_2127/500.jpg","https://media.guim.co.uk/d54a030d3b515320c3d5d13c7df7b1e6519379cc/0_213_4096_2458/500.jpg","This winter’s must-have striker, at least if you are a big hitter whose finances have survived Covid-19, is a 21-year-old Serb who appears to have it all. Vlahovic joined Fiorentina from Partizan Belgrade in 2018 and, since last December, has hardly stopped scoring. At the time of writing he had found the net 43 times for club and country in 12 months, with seven in his past five games, earning him a first appearance in our list. It means he tops the Serie A charts and La Viola face a seemingly impossible task in keeping him. The 6ft 3in Vlahovic, who is blessed with strength, speed and subtlety, has rejected the biggest contract offer in their history and could leave for free in 2023. Fiorentina may have to cash in and will start the bidding at around £70m.","Nick Ames"
58,54,"-4","Thiago Silva","Defender","CENTRE","Chelsea","England",37,"Brazil","https://media.guim.co.uk/e72e26e0a597150840b3eb88831e47f76a336d62/437_15_783_783/500.jpg","https://media.guim.co.uk/9b5a18c9d95e98ae65ede8fe8497eee9253c5b1c/96_267_3327_1996/500.jpg","The veteran centre-back left Paris Saint-Germain after their 2020 Champions League final heartache, only to quickly be reunited with Thomas Tuchel at Chelsea. Silva played a key role as the Blues swept to Champions League glory, helping player and coach make amends. There were disappointments in 2021 for Silva, who went off injured in Porto and captained Brazil to Copa América final defeat. ""From the first day I met him in Paris, he was a fantastic professional and an outstanding captain,"" Tuchel says of his defensive lieutenant, who is keen to coach after retirement but set to play on for Chelsea for next season at least.","Niall McVeigh"
59,NA,"New","Declan Rice","Midfielder","CENTRE","West Ham United","England",22,"England","https://media.guim.co.uk/479ab79fe019c821ace8430d4167c423d170c9e4/476_36_526_526/500.jpg","https://media.guim.co.uk/dfc808319d48e975758bbfd8ab3669b2af7052cd/0_0_3695_2217/500.jpg","West Ham’s talisman has arguably been the best midfielder in the Premier League this season. The 22-year-old has played a key role in David Moyes’s side pushing for Champions League qualification and keeps lifting his game to new heights. Rice, who helped West Ham qualify for the Europa League last season, is more than a ball-winner. His passing is increasingly incisive, he is a powerful dribbler and has become more of a goal threat. It is no wonder that so many top sides want to sign Rice, who was also instrumental in England reaching the final of Euro 2020.","Jacob Steinberg"
60,77,"17","Riyad Mahrez","Winger","RIGHT","Manchester City","England",30,"Algeria","https://media.guim.co.uk/368bd0251d7bd92e40faddf0fa9006f63f779381/1829_1142_1748_1748/500.jpg","https://media.guim.co.uk/90ca4b277abfe8ca7c65fb558591775464fabf07/0_216_3096_1859/500.jpg","The Algerian has dropped 50 places from his 2016 high of 10 but he is still performing at his best for Manchester City. He favours playing from the right, regularly cutting in for a shot. Mahrez was instrumental in the knockout stages as City progressed to the Champions League final, scoring three goals in the two semi-final legs against Paris Saint-Germain, following it up this season with a mesmeric performance in the group stage at the Etihad against the same opposition as he outshone Lionel Messi et al.","Will Unwin"
61,59,"-2","Jack Grealish","Midfielder","LEFT","Manchester City","England",26,"England","https://media.guim.co.uk/a43450ab50cc62d72f75024e22451bfb0390fc58/1436_263_2130_2131/500.jpg","https://media.guim.co.uk/de4dbb6aa02cba08cecbcecbe91176df66ac1a5e/380_191_1777_1066/500.jpg","Dropping two places in the Top 100 reflects a peculiar year for Grealish. His sparkling talent is undeniable and his long-heralded move away from Aston Villa came to pass, for a British record fee, but he spent the year at an in-between-stage of his career: injury made him miss most of Villa’s 2020-21 season run-in; he was in and out of the England side that fell at the final hurdle at Euro 2020; and he has done well but not quite thrived at Manchester City, admitting that his adaptation has been tougher than he expected. A decent year, then, but not as good as 2022 should be for him.","Paul Doyle"
62,NA,"Re-entry","Lorenzo Insigne","Forward","LEFT","Napoli","Italy",30,"Italy","https://media.guim.co.uk/9384f6e849e25a615b2425df93e3fb9ac116f5b8/735_77_885_886/500.jpg","https://media.guim.co.uk/ac8532658da2e096b3af0254f878135ab2cfa131/25_72_1438_863/500.jpg","Like so many others in an Italy shirt, Insigne showed the best of himself at Euro 2020. His trademark “tir a gir” (curling shot) against Belgium was voted as the second-best goal of the tournament, becoming the subject of countless online memes and even a viral music hit. At club level the picture has been more mixed. Despite recording his highest-ever Serie A goals tally in 2020-21, Insigne started the year with a missed penalty in the Supercoppa defeat to Juventus and looks set to end it in a contract stand-off with his boyhood club.","Nicky Bandini"
63,NA,"New","João Cancelo","Defender","RIGHT","Manchester City","England",27,"Portugal","https://media.guim.co.uk/284cc0784cdabdce5fa822267df87f9f61f83edd/1281_99_1005_1005/500.jpg","https://media.guim.co.uk/e711ec718ff235cf18821ae066c3d8a4a2ebcd01/175_308_2643_1586/500.jpg","Solving Manchester City’s left-back issue has troubled Pep Guardiola for some time but the Portuguese has acquitted himself in impressive fashion on the opposite side to his natural position. He is able to go down the line and create chances, while also being adept at moving into midfield to instigate attacks. He can also be found making runs behind the opposition defence, as highlighted by his goal at Club Brugge. His wondrous goals and crossing seem to make people forget that he is part of one of the most resilient defences in Europe.","Will Unwin"
64,40,"-24","Leon Goretzka","Midfielder","CENTRE","Bayern Munich","Germany",26,"Germany","https://media.guim.co.uk/890ff285a9e80c974ab4b1db57c83c2ca3c2e310/2126_32_1794_1795/500.jpg","https://media.guim.co.uk/5cbc010f24e80a1ed25f7afc9b77d7f474e1a63c/0_25_3442_2065/500.jpg","Goretzka continues to be at the heart of everything Bayern Munich do. Dropping 24 places from last year’s standing is perhaps a reflection of his team’s loss of their Champions League title, and the injury that ruled the midfielder out of the second leg of the extremely tight quarter-final loss to Paris Saint-Germain was perhaps its deciding factor, underlining his importance. Goretzka also struggled for fitness at the Euros, though his equaliser against Hungary and his defiant message to travelling right-wing ultras immediately afterwards was one of the tournament’s most beautiful moments. He has already been vital for Julian Nagelsmann this season.","Andy Brassell"
65,42,"-23","Toni Kroos","Midfielder","CENTRE","Real Madrid","Spain",31,"Germany","https://media.guim.co.uk/b3612f138826fa353145b5dd75086a8182351cff/491_0_2421_2420/500.jpg","https://media.guim.co.uk/d24afd53ed459482bf12db5cc7c0d185b7d7e0b4/0_185_4000_2399/500.jpg","This is the lowest position Kroos has occupied, perhaps because of international retirement and club emptyhandedness, and it’s also surely lower than it would have been had the vote taken place a month later. He has been superb since returning from injury in the autumn. Still carrying his own private patch of grass, in Barney Ronay’s memorable description, still as unhurried and accurate, Carlo Ancelotti admits that often he doesn’t bother telling Kroos, Modric and Casemiro what to do – because they know perfectly well, thank you. “They have a quality that’s hard to explain,” he said.","Sid Lowe"
66,24,"-42","Ciro Immobile","Forward","CENTRE","Lazio","Italy",31,"Italy","https://media.guim.co.uk/1583255be4f919fb91fca306b36968dd040e03a7/562_46_890_890/500.jpg","https://media.guim.co.uk/bf2e5ce5f62bfa74648414541c7df1d936469c0f/0_0_3072_1843/500.jpg","This was the year when Immobile took over the captain’s armband at Lazio and moved ahead of Silvio Piola to become the club’s all-time leading scorer, as well as winning Euro 2020 with Italy. He netted twice at that tournament, yet his failure to do so in the knockout rounds still added fuel to the fire of those who believe he lacks something at the highest level. Roberto Mancini is under pressure to consider different options for the World Cup qualifying play-off, but we would not bet against a man who has made this list for five years straight.","Nicky Bandini"
67,26,"-41","Alisson","Goalkeeper","CENTRE","Liverpool","England",29,"Brazil","https://media.guim.co.uk/87225bc609242446b21bc700f09ca34ccf838b6d/540_81_752_752/500.jpg","https://media.guim.co.uk/1f6d9a78f42f0b39d48ab552a569b97dbcb6d1a3/0_248_4637_2783/500.jpg","The Liverpool goalkeeper's on-field struggles last season – with an injury-plagued defence in front of him and individual errors proving costly – paled into insignificance when his 57-year-old father drowned in February. Alisson, unable to return to Brazil at the time, missed one game before retaking his place in Jürgen Klopp's team and produced one of the stories of the season with a vital, emotional 95th-minute headed winner at West Brom. The first competitive goal scored by a Liverpool goalkeeper in the club's 129-year history maintained their unlikely but ultimately successful pursuit of Champions League qualification. With a settled defensive unit back in place, Alisson has been a telling influence again this season.","Andy Hunter"
