"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2021","League","Age.on.20.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile","Writer"
68,56,"-12","Casemiro","Midfielder","CENTRE","Real Madrid","Spain",29,"Brazil","https://media.guim.co.uk/3b3e514032a811dcc63af6b1c4432b5c46e9baeb/2048_181_2491_2491/500.jpg","https://media.guim.co.uk/9973ed1e138ce5857cb4a8148a51a75e0f4cd48a/0_114_3419_2051/500.jpg","Not long after Carlo Ancelotti returned to Real Madrid this summer, he had a knock on his office door. Stepping in was Casemiro, who wanted to tell the coach that the last time he had been there he had taken too long to put him in the team. Ancelotti’s response? To tell him he was right. And it won’t happen again. Casemiro is too important for that, never left out of the Real Madrid side unless injured or suspended. Often unseen but indispensable.","Sid Lowe"
69,NA,"Re-entry","Paul Pogba","Midfielder","CENTRE","Manchester United","England",28,"France","https://media.guim.co.uk/a9fcf22b4a3a6722bb18e9baa5884ddf99841500/1935_130_798_798/500.jpg","https://media.guim.co.uk/48c399d25fe92e7eb553573c723681b4f67b4593/110_74_3390_2034/500.jpg","The one-time the thus-far on-message Ralf Rangnick has offered an unwanted reveal was when he was thrown a poser on why Paul Pogba consistently shines for France but not his club. A pause was followed by a staccato “I don’t know why”. This is the enigma of the Frenchman since rejoining Manchester United in 2016. He can be quite brilliant: there were game-winning goals at Burnley and Fulham in the space of eight days in January. But he scored only one other goal in the Premier League last season. The bottom line is Pogba continues to be what he has been in a half-decade at United: too unreliable.","Jamie Jackson"
70,NA,"New","Reece James","Defender","RIGHT","Chelsea","England",22,"England","https://media.guim.co.uk/bca9d1acf489543d9c2d230100a25636b3864fb6/1324_112_1043_1043/500.jpg","https://media.guim.co.uk/d1f0c8c3f36f1172e5e1c11612b6ef9aa73d9995/0_33_4638_2783/500.jpg","An unstoppable force down the right-hand side for Chelsea, the wing-back has become the club’s most dangerous attacking threat in recent times. As the forwards struggle to find consistency, James has outshone them with an array of goals and assists, scoring and creating four in his opening 12 league appearances of the 2021-22 season. “His touch is velvet, he makes the right pass, takes the right decisions,” the former Chelsea midfielder Joe Cole has said. “And when he gets in front of goal it is like your top, top strikers’ level of composure and technique.”","Will Unwin"
71,88,"17","Marcos Llorente","Midfielder","CENTRE","Atlético Madrid","Spain",26,"Spain","https://media.guim.co.uk/a293284a887278da6aa71679942ec178095aa0c8/1139_0_2292_2293/500.jpg","https://media.guim.co.uk/e24eee912f76030727e1f533561becdf9983db09/18_202_3407_2045/500.jpg","Marcos Llorente has a dog called Anfield, after the stadium where they discovered that he could play further forward. He could be some all-American high school hero with his perfect teeth, impeccable hair and absurd physique. Dashing up and down the right wing and everywhere else too, seemingly incapable of getting tired, he was the outstanding midfielder in Spain as Atlético won the league, getting into double figures for goals and assists. It’s just a pity for him that his athleticism and versatility make it so easy for managers to play him somewhere else.","Sid Lowe"
72,NA,"New","Jude Bellingham","Midfielder","CENTRE","Borussia Dortmund","Germany",18,"England","https://media.guim.co.uk/39745a1a173137e87cd1ee990cfaa27d2b926e84/858_46_1002_1002/500.jpg","https://media.guim.co.uk/0ce17641fc9cb89bc19f14bebb44c8a56033ad2f/344_0_5220_3132/500.jpg","Of all the remarkable things about Bellingham, the fact he is only 18 and a half makes the jaw drop furthest. For a close second, witness the solo goal he scored for Borussia Dortmund against Arminia Bielefeld after slaloming past three defenders; he is capable of flourishes like that but can dictate a game in less threatening areas too, patrolling the midfield with rare composure, strength and dynamism. Bellingham has the entire package and should become a mainstay in England’s midfield – and this ranking, in which he makes a first appearance – over the next decade or more. He was named the Bundesliga’s newcomer of the season for 2020-21, also becoming both the youngest Englishman to play at a major tournament and the youngest-ever player at a European Championship, aged 17 years and 349 days, during Euro 2020.","Nick Ames"
73,NA,"New","Leonardo Spinazzola","Defender","LEFT","Roma","Italy",28,"Italy","https://media.guim.co.uk/560b6cb39a18abf9c3f130bf2d8005d4128db0e0/1384_64_1332_1331/500.jpg","https://media.guim.co.uk/b48576f2bd83a72ad727c6f682e91a1176adabfd/0_122_3500_2100/500.jpg","The maurading full-back was a sensation at the Euros, his tireless running on the left-hand side helping Italy to a superb start to the tournament. Sadly for him, and Italy, he ruptured his achilles late in the quarter-final against Belgium and has not played since. Italy were less powerful without him, Emerson Palmieri not offering the same thrust going forward, but still went on to win the title. The Italy players dedicated their semi-final win over Spain to their stricken teammate, chanting his name after the nervy victory but it was merely the latest injury blow for the 28-year-old who had already torn his ACL and missed out on a move to Inter after a failed medical. The talent has always been there and one can only hope that he gets back to his best in 2022.","Marcus Christenson"
74,NA,"Re-entry","Kyle Walker","Defender","RIGHT","Manchester City","England",31,"England","https://media.guim.co.uk/3a435dfd7146bde7ac2234c3c0304bb80c4d62a0/1633_142_1186_1186/500.jpg","https://media.guim.co.uk/54a624cd4d320c5bb4c9e41246ef7e0e853b3d6e/0_72_2500_1500/500.jpg","“The level Kyle has shown with us these four years has been fantastic,” says Pep Guardiola. “He’s another person who has his life calm and in order – he’s such an important player for us.” It does seem things are becoming more tranquil for Walker as he distinguishes himself as City’s and England’s most consistent defender, although he is still prone to the odd mistake and rush of blood to the head. Few can match him for pace, and Walker’s reading of the game means he is a yard ahead of opponents before they start running.","Will Unwin"
75,89,"14","Ederson","Goalkeeper","CENTRE","Manchester City","England",28,"Brazil","https://media.guim.co.uk/83f1b6042be5cfb665769db9bf18011aad93c86a/96_98_1340_1339/500.jpg","https://media.guim.co.uk/d9d06d5671bf95fc9f0018a44f731ee1eca9034e/0_179_3500_2101/500.jpg","The Manchester City stopper believes a goalkeeper’s fate is “to be a hero and villain at the same time” – a fitting maxim for a player with comic-book qualities. Ederson’s long-range interceptions, anticipation and precise long passing are as crucial to Pep Guardiola’s gameplan as his instinctive shot-stopping. The Brazilian retained the Premier League’s Golden Glove with 19 clean sheets – and got an assist too. Undoubtedly a hero at the Etihad, Ederson has also gained ground in his long battle with Alisson to be his country’s No 1, replacing his rival midway through their Copa América campaign and starting the final.","Niall McVeigh"
76,90,"14","Antoine Griezmann","Forward","CENTRE","Atlético Madrid","Spain",30,"France","https://media.guim.co.uk/1a59cc80757e14bb8dea5c0e199808608315508d/1652_19_1266_1266/500.jpg","https://media.guim.co.uk/708c3280f5fa2dcab76f65dcca4d86ed31a83f00/828_272_2057_1234/500.jpg","Antoine Griezmann is very good at football. At times during his difficult spell at Barcelona it felt necessary to make that basic point. That’s seen here in the fact that he is only 76th – and that’s up 14 on last year. Diego Simeone knew, even if others did not, and brought Griezmann home. Maybe at Atlético he can go back to being a footballer a good 60-plus places higher in this list. Although it’s not easy to find him a place in a reworked team that don’t play as they did back when he was first at the club, there are signs that they’re getting there.","Sid Lowe"
77,NA,"New","Kasper Schmeichel","Goalkeeper","CENTRE","Leicester City","England",35,"Denmark","https://media.guim.co.uk/1a1d12093782a1ac52334d9beb0ef0e484a5a272/1423_91_1600_1601/500.jpg","https://media.guim.co.uk/ac02c008e29ff2f9e58d4915e245ed4621133e53/1014_347_1701_1021/500.jpg","His first entry into the Top 100 comes just as his club form has wobbled for the first time in a decade. But some autumnal blips cannot detract from his excellence during most of a year in which he helped Leicester to win the FA Cup for the first time – his one-handed save from Kai Havertz being one of the highlights of that match – and was then one of the chief influences as Denmark regrouped after the traumatic departure of Christian Eriksen to reach the semi-finals of Euro 2020.","Paul Doyle"
78,NA,"New","Luke Shaw","Defender","LEFT","Manchester United","England",26,"England","https://media.guim.co.uk/5171941169606d7b5db9ec8f142ae8608c945c36/920_176_2150_2151/500.jpg","https://media.guim.co.uk/adf9c243e2c38fb494d2a79853e360c151fa3113/0_24_2721_1633/500.jpg","An argument can be made that Shaw was as vital for England as Raheem Sterling at Euro 2020, the left-back creating three goals and scoring in the final against Italy. This followed a superb domestic campaign. This term he has been off the boil, the broken ribs suffered at the Euros disrupting his pre-season. But Shaw is a class act who had to overcome a horrific double leg fracture and José Mourinho’s carping regarding his ability when United manager. Expect the defender to return to his best soon.","Jamie Jackson"
79,NA,"New","Patrik Schick","Forward","CENTRE","Bayer Leverkusen","Germany",25,"Czech Republic","https://media.guim.co.uk/391ffbce58ded5256a9cb3cdb0b2b9d77fe5a8ee/342_63_580_580/500.jpg","https://media.guim.co.uk/fdcb5eafd3cc7157bcc9a08b277a6a5af45496de/274_34_1560_936/500.jpg","If Schick’s career ended tomorrow he would be remembered for the staggering goal, looped in from only a couple of yards inside the opposition half, that put the Czech Republic 2-0 up against Scotland at Euro 2020. It was among the moments of the summer and spoke of a strapping centre-forward coming into his prime. Schick’s five goals in the tournament made him joint-top scorer alongside Cristiano Ronaldo and helped earn him a deserved first appearance in this list. He never quite hit it off at Roma after bursting onto the scene with Sampdoria but has made his mark in Germany, becoming a matchwinner for Bayer Leverkusen after a solid year at RB Leipzig. At the time of writing only Robert Lewandowski has outscored Schick so far in this Bundesliga season and, at 25, he has become one of the most complete strikers around.","Nick Ames"
80,43,"-37","Roberto Firmino","Forward","CENTRE","Liverpool","England",30,"Brazil","https://media.guim.co.uk/bf7a5c9b28068df3218ebf97c5f36f59b3c78335/1156_0_3279_3280/500.jpg","https://media.guim.co.uk/78bcdec6d3ae1f1a7d02d62180706d53a3104cf2/938_41_1349_809/500.jpg","Having dropped 32 places on our list in 2020, Firmino slides downwards a further 37 this year, which is a pretty fair reflection of how things are going for the Brazilian. He remains a clever, hard-working and talented player but, aged 30, is clearly no longer the force of old. There have been few goals and assists in 2021 and his place as a regular starter in Liverpool front three is coming under ever increasing threat from Diogo Jota. In Firmino’s defence, he has been hampered by injury more than once in 2021 and up until his most recent, a hamstring strain sustained in early November, there were still some genuine standout moments, most notably a hat-trick and assist in the 5-0 victory over Watford.","Sachin Nakrani"
81,NA,"New","Marcelo Brozovic","Midfielder","CENTRE","Internazionale","Italy",29,"Croatia","https://media.guim.co.uk/ae1110080b57c9ebf4dc6f654c1b7800412bc51a/812_40_1959_1959/500.jpg","https://media.guim.co.uk/040484f075e015cb7938d1a6811d890efbc41f1e/153_385_3931_2360/500.jpg","Antonio Conte defined Brozovic as “the darling of the [Inter] team” that won the Scudetto for the first time since 2010. Even in a side that prided themselves on hard graft, the Croatian pushed himself further than the rest – covering more distance per game than any other player in Serie A last season. Yet Brozovic is much more than a domestique peddling away anonymously so that teammates can shine. His vision and incisive passing were fundamental to Inter’s fast-break approach under Conte, and remain so now that Simone Inzaghi is adapting the Nerazzurri to a more possession-focused approach.","Nicky Bandini"
82,NA,"Re-entry","Sergio Busquets","Midfielder","CENTRE","Barcelona","Spain",33,"Spain","https://media.guim.co.uk/c7b8d681dc847e088f8b3d4dc8048955176693aa/178_39_1133_1132/500.jpg","https://media.guim.co.uk/600140b7e70f4b7f87ce145f0bcee4fef90561df/1172_163_1884_1130/500.jpg","“Facts speak louder than words,” Luis Enrique said last month. “And Sergio Busquets is one of the best midfielders in the history of football, at least for me.” Many people would agree about the history part; what fewer agreed with was whether that was still applicable. And yet, in contrast to the past couple of seasons at Barcelona, Spain’s performances suggested that with a functioning system around him, allowed to play on the front foot rather than overrun by athletes in the other team, maybe Busquets could still be Busquets. Some days, anyway.","Sid Lowe"
83,57,"-26","Duván Zapata","Forward","CENTRE","Atalanta","Italy",30,"Colombia","https://media.guim.co.uk/075a6c1d5ba1a812f217836bf91df7d88e77ae0d/551_128_1462_1461/500.jpg","https://media.guim.co.uk/7172202788e3e3a4a2f1142c908ee00fb903e2c4/0_49_3072_1843/500.jpg","Linked with a move to Internazionale this summer, Zapata confessed to being tempted but ultimately believed that staying at Atalanta was “the best thing for me, my career and my family”. He has certainly thrived since arriving in Bergamo three years ago, piling up the goals so consistently that in November he became the first Colombian to reach 100 in the Italian top flight. His recent form has been some of his best ever at club level, though he has struggled to replicate it for the national team – starting six games without finding the net at this year’s Copa América.","Nicky Bandini"
84,37,"-47","João Félix","Forward","CENTRE","Atlético Madrid","Spain",22,"Portugal","https://media.guim.co.uk/db6064a38d643fa66f12c6b67ebab94660229cca/984_228_808_808/500.jpg","https://media.guim.co.uk/0d070ee35da31c28d6eabed5374f37f00d443c2e/0_93_2032_1219/500.jpg","Drops 47 places in the year in which his club team won La Liga. Which may not immediately make sense but while there were glimpses of his undoubted quality, and while he had started the season – in 2020 – as possibly the outstanding player in Spain, there were injuries and it didn’t last that long. Ultimately his contribution was not that of a central figure. Young and with a wide margin for improvement, particularly under a system that suits him, but still feels like a footballer who may not be in the right place.","Sid Lowe"
85,NA,"New","Burak Yilmaz","Forward","CENTRE","Lille","France",36,"Turkey","https://media.guim.co.uk/cbb3b1260646c36486890f31f5fab098b01dd43a/528_20_2240_2240/500.jpg","https://media.guim.co.uk/503b8674cbb8024f5f325cccba45fe56642226c3/0_280_3459_2076/500.jpg","Lille’s glorious Ligue 1 title win could not have been achieved without the now 36-year-old Turkish striker. His leadership, aggression and ability to produce match-winning displays at crucial moments proved decisive as Lille won their first title in a decade. Despite missing 13 games at the start of the year, Yilmaz’s second-half display that overturned a 2-0 deficit at their title rivals Lyon in April was arguably the season’s defining moment. However, the second half of 2021 has been frustrating for Yilmaz after leading a hugely disappointing Turkey side at Euro 2020 to group-stage elimination and a frustrating, often clumsy, but no less persistent start to the new campaign as Lille struggle in mid-table.","Adam White"
86,NA,"New","Mikel Oyarzabal","Winger","LEFT","Real Sociedad","Spain",24,"Spain","https://media.guim.co.uk/d9cf1181f89d68945e0398c9286cf947cc284292/1146_159_1090_1090/500.jpg","https://media.guim.co.uk/2a3971ded79cd93b1012a1a85340be6b8a6560e8/0_1154_7640_4584/500.jpg","Scored the winner in the Copa del Rey final; went to the Euros with Spain, scoring the penalty to take them to the semi-final at Wembley; won an Olympic silver medal; scored in the Nations League final; and helped Real Sociedad to the top of the league. Although an injury followed and they are no longer leaders, it’s been a superb year for Oyarzabal, if perhaps lacking that step up to universal recognition. He graduated from Deusto University at 22 and was Real Sociedad captain by 24 having already played 250 games.","Sid Lowe"
87,NA,"New","Luis Díaz","Midfielder","LEFT","Porto","Portugal",24,"Colombia","https://media.guim.co.uk/106f5a7b316137e158b135332945e411bcd63b9b/3287_0_2908_2908/500.jpg","https://media.guim.co.uk/4415582cbf0dd8b41ecd5e8c0eb80b39d7b1a5d3/167_65_2907_1744/500.jpg","It was quite a year for Diaz, who ended the Copa América as joint top scorer (with Lionel Messi) in the middle of a breakthrough year with Porto, adding goals to his dazzling wing play. This was the year that he established himself as a nailed-on starter, Porto’s best player and probably their next big-money export, with interest in him coming from all over Europe. His heroics weren’t quite enough to take Porto to the Champions League last 16 from a super competitive group, but goals in both matches against Milan caught the eye and underlined his ability to turn the biggest games.","Andy Brassell"
88,63,"-25","Diogo Jota","Winger","LEFT","Liverpool","England",25,"Portugal","https://media.guim.co.uk/fd565ecc992b8ae3ce5e3ecdf9924df4ead509a9/411_46_899_899/500.jpg","https://media.guim.co.uk/8469c8225e9203e562fec5e6353002b1428ee503/0_445_2886_1732/500.jpg","Deployed as an inverted winger at Wolves, Jota's off-the-ball intensity first caught Jürgen Klopp’s eye in an otherwise forgettable 2019 FA Cup game. Signed to bolster Liverpool’s attacking options in September 2020, Jota is flourishing into a first-class finisher this season with eight Premier League goals by the start of December, overtaking Roberto Firmino as the preferred central point in Klopp’s attacking trident. “People say [his] goals are easy but they are not, because you have to read the situation,” says Klopp of his new-found poacher. The 25-year-old was left out of key games as Portugal tumbled into the World Cup play-offs, and has surely earned the chance to play a bigger role for his national side.","Niall McVeigh"
89,NA,"Re-entry","Dusan Tadic","Winger","LEFT","Ajax","Netherlands",33,"Serbia","https://media.guim.co.uk/c27b4a2cd3155c3d0dd673b8565ef0d1834c8fec/1192_102_1397_1397/500.jpg","https://media.guim.co.uk/48185ecc86243132ebac67f7fa297d8ae1a751e4/0_78_3668_2201/500.jpg","Tadic’s career will, mishap permitting, hit another high point late in 2022 when he represents Serbia at the World Cup aged 34. He scored one of the goals that took them there on a dramatic night in Lisbon last month, crowning another year that has served the bewitchingly talented playmaker well. The silky-footed creator behind an Ajax side that has swept aside all-comers in the Champions League group stage, he is one of the survivors from their run to the last four in 2018-19 and has thrived just as well in their revamped XI since then. It was no surprise to see him make the Eredivisie team of the year after a league and cup double; a re-entry to this list having come 27th two years ago, Tadic shows no sign of rust despite the onset of footballing old age.","Nick Ames"
90,NA,"New","Dani Olmo","Forward","CENTRE","RB Leipzig","Germany",23,"Spain","https://media.guim.co.uk/622f0c14e293b333adcdb298be80204d8d835b44/421_38_1849_1849/500.jpg","https://media.guim.co.uk/620ba401f119706905b901e14cab19906fcfe69e/0_0_3339_2004/500.jpg","Olmo’s career path has been atypical, but he is finally attracting the praise his quality deserves after a strong Euro 2020 with Spain. The 23-year-old is illustrative of the team Luis Enrique has created: creative, intuitive and zesty, though maybe more selfishness would help his numbers step up to meet the impression he creates on the eye. After an excellent sophomore season at Leipzig, fatigue brought on from following up the Euros with the Olympics explains a slower start this term. One suspects he will take the next step up at some point in 2022.","Andy Brassell"
91,NA,"New","Julián Álvarez","Forward","CENTRE","River Plate","Argentina",21,"Argentina","https://media.guim.co.uk/6c08e0b3e825c43fb0f822feb68486c87aa05139/1199_0_1048_1049/500.jpg","https://media.guim.co.uk/4f24e60607c6874a5c2947543ddb1785ec035cdb/0_405_5208_3125/500.jpg","It has been a coming-of-age year for Álvarez at River Plate, in which he has transformed himself from a promising youngster to the best player in the division. Given the opportunity to lead the line for Marcelo Gallardo’s freewheeling side, Álvarez was top scorer as River won their first league title in seven years and endeared himself to the Millonario faithful with a spectacular double against their rivals Boca Juniors and a memorable hat-trick versus San Lorenzo. Intelligent, mobile and fearless, he was described by Gonzalo Higuaín as a “complete No 9” and was also the youngest member of Argentina’s Copa América winning squad.","Tom Robinson"
92,NA,"New","Rodri","Midfielder","CENTRE","Manchester City","England",25,"Spain","https://media.guim.co.uk/3655a00fd62f3327a7311e28a408b108452c4b37/779_93_937_937/500.jpg","https://media.guim.co.uk/55258af5b7e8e4e0ba8741adbcdeb033b8b4db3d/0_208_3500_2100/500.jpg","After a tough first 18 months adapting to the helter-skelter world of Premier League football, the Spanish midfielder is finally proving himself as the heir to Fernandinho’s throne. He is focusing on what he can do, rather than what he cannot, which caused him problems in the early part of his City career. He is the calm wall in front of the defence, ensuring the centre-backs do not get overexposed and provides the consistency Pep Guardiola demands of a player in his role. In addition to his defensive and passing capabilities, Rodri has a rocket of a shot, as Everton found out to their cost in November.","Will Unwin"
93,NA,"New","Sébastien Haller","Forward","CENTRE","Ajax","Netherlands",27,"Ivory Coast","https://media.guim.co.uk/be11e03eb649fa4843562f0ef3a38eed55ff7b84/2957_74_1265_1265/500.jpg","https://media.guim.co.uk/cc878a889ea73785343ed042033efa3da7619ad3/94_117_4185_2511/500.jpg","Haller’s season and a half at West Ham was not an unmitigated disaster but he hardly set the Premier League alight. What a contrast to his year with Ajax, where he arrived in January for a club record fee of £18.8m and immediately blazed a trail. He had scored 31 goals for them at the time of writing, including 20 in 21 appearances this season, helping them to the title and then getting his teeth into the Champions League. A four-goal haul at Sporting was followed by six more strikes in a breathtaking group stage from Eric ten Hag’s ingeniously remodelled side. He matched Cristiano Ronaldo’s record of scoring in all six games and became the competition’s hottest centre-forward, fulfilling the potential he showed at Utrecht and Eintracht Frankfurt. A debut in our top 100 is thoroughly deserved and the Hammers may regret the one that got away.","Nick Ames"
94,67,"-27","Keylor Navas","Goalkeeper","CENTRE","Paris Saint-Germain","France",35,"Costa Rica","https://media.guim.co.uk/d7b083ccc6a189ab58f916bb70fff99ba0e27062/856_66_1069_1070/500.jpg","https://media.guim.co.uk/8df9c9651bcb99bb85bd00bb109ab9e0e1c4068b/0_48_3425_2056/500.jpg","After a series of stunning displays in the Champions League last season, helping to power Paris Saint-Germain to the semi-finals, one would have thought that Navas might deserve a higher place in these rankings. The current campaign, however, has been less than impressive for the Costa Rican. Perhaps unsettled by the arrival of Gianluigi Donnarumma, or just showing his age, having recently turned 35, Navas has committed a few uncharacteristic gaffes, including getting sent off against Nantes in the league. That said, he has also turned in some incredible performances, keeping PSG in matches against Club Brugge and Montpellier, while his native Costa Rica retain a slim chance of a place in next year’s World Cup thanks to his heroics.","Eric Devin"
95,NA,"New","Bukayo Saka","Midfielder","RIGHT","Arsenal","England",20,"England","https://media.guim.co.uk/6b624fcd004b03b1ba289ce5b3af8e16f37ce83b/1395_79_1074_1074/500.jpg","https://media.guim.co.uk/0c2fba3c1ee3d0fde12a818eb5d833e2e66b15f4/0_220_3500_2100/500.jpg","An entire nation wept for Saka when, on a tumultuous night at Wembley, he missed decisively from the spot in the Euro 2020 final. He was subjected to some shocking racist abuse afterwards and one of many things that stands out about the 20-year-old, on and off the pitch, is a preternatural level of maturity. None of the idiots who directed hate at Saka would have any answer to his performances for Arsenal, where he operates on the right flank with a consistent blend of flair and intelligence. A slightly slower start to this season was mitigated by a derby goal against Tottenham; his summer misfortune masked the fact that, although a late call-up, he had a fine European Championship. He has scored four times for his country since early June.","Nick Ames"
96,NA,"New","Joakim Mæhle","Defender","LEFT","Atalanta","Italy",24,"Denmark","https://media.guim.co.uk/fc1f829e73ea411d4d65f12cd518dbfbfd9da66b/1415_232_882_882/500.jpg","https://media.guim.co.uk/a39240b0f12416b0225f4dd8c714565476271bab/0_87_2641_1585/500.jpg","It was quite the summer for wing-backs from Atalanta. While Robin Gosens excelled on the left flank for Germany, Mæhle did exactly the same in a Denmark shirt and propelled himself into our top 100. Mæhle was one of the tone-setters in a side that performed heroics in reaching the semi-finals after the horror of Christian Eriksen’s collapse; his right-footedness gives him the element of surprise when bounding forward and that willingness to attack has been profitable for the national team. Seven goals for Denmark in the calendar year included strikes against Russia and Wales at Euro 2020, along with a winner against Austria that secured World Cup qualification. He has impressed in Serie A too and it is some leap for a 24-year-old who only joined the Italian side from Genk at the end of 2020.","Nick Ames"
97,51,"-46","Fabinho","Midfielder","CENTRE","Liverpool","England",28,"Brazil","https://media.guim.co.uk/1e5bd47afc26a4d2f909e3610d2daccec3004ca2/1976_711_928_928/500.jpg","https://media.guim.co.uk/c6eb0be57149a86fc357c21364b4513102e2410a/17_120_1149_689/500.jpg","Jürgen Klopp rates Fabinho as “the best No 6 in the world” and was loth to play him at centre-back when injuries left Liverpool with little alternative last season. His and his team’s performances during that spell – and the fact he featured for only five minutes in the knockout stages of Brazil’s ultimately unsuccessful Copa America campaign – no doubt explain why he has dropped 46 places in this year’s Top 100. But his performances this season, when he and his team have been back at full-strength, explain why Klopp and others rate him so highly.","Paul Doyle"
98,NA,"New","Gavi","Midfielder","CENTRE","Barcelona","Spain",17,"Spain","https://media.guim.co.uk/f3414daef0b721edbf72a7f85e7d5ef241fe5f64/3256_4_2269_2270/500.jpg","https://media.guim.co.uk/635506cf9559989b5867797ea9b411e38b5fa769/0_30_2230_1338/500.jpg","The Barcelona midfielder completes a rare double for 2021: he also featured on our Next Generation list this year. And he is not just the youngest player on this list – he's the youngest ever to feature in our 100, eclipsing the record set by Gianluigi Donnarumma in 2016. But that has been the pattern of late: he became the youngest ever to represent Spain at 17 years and 62 days when he made his debut in a 2-1 Nations League win over Italy in October. “When you see him play it surprises you,” the Spain coach, Luis Enrique, said. ""There's no doubt at all that he can be a very important player for the future not just for Barcelona but also the national team.""","John Ashdown"
99,NA,"New","Youri Tielemans","Midfielder","CENTRE","Leicester City","England",24,"Belgium","https://media.guim.co.uk/173f0d0fc2d320e5e7f84c7125c337e2f41037ce/730_132_1330_1330/500.jpg","https://media.guim.co.uk/9b6e97bfc25df9aa487a4fdd3a66d755e236e310/0_19_1741_1044/500.jpg","Before considering his vision and elegance, it is worth highlighting Tielemans’ solidity: at 24 he is already into his ninth season as a top-flight professional. Maybe his robustness can be explained by the fact that he was a skilled judoka before committing to football. Whatever, Leicester and Belgium are grateful for it, as he has become crucial to both. Given how influential he is for his club, in particular, it was fitting that he scored the goal in May that won them the FA Cup for the first time and immediately ranked as a competition classic. He keeps getting better. This is his first appearance in the Top 100 but is unlikely to be his last.","Paul Doyle"
100,NA,"New","Pierre-Emile Højbjerg","Midfielder","CENTRE","Tottenham Hotspur","England",26,"Denmark","https://media.guim.co.uk/33f677b2d33e908bc4f431586819d6e60445b7bf/353_122_1354_1354/500.jpg","https://media.guim.co.uk/ae4f3cad4bd269efc9ef7f5434ce3dc7ae40abb1/71_103_1638_983/500.jpg","The Danish midfielder appeared destined for greatness when he made his Bayern Munich debut aged 17 but has taken the long road to make this list. Højbjerg played a pivotal role in Denmark’s emotional run to the Euro 2020 semi-finals and was named in Uefa’s team of the tournament. At club level, he has learned to flourish in adversity after failing to make the grade in Germany, impressing at Southampton under four different managers in as many seasons. Højbjerg matched that manager tally in 15 months at Spurs but was a rare bright spark as José Mourinho’s reign unravelled and has kept his place under Antonio Conte.","Niall McVeigh"
